Sample	Genotype	NitrogenTreatment	DevStage	Individual
1	R	270N	B0	1
2	R	270N	B	1
3	R	270N	M	1
4	R	270N	P	1
5	R	270N	B0	2
6	R	270N	B	2
7	R	270N	M	2
8	R	270N	P	2
9	R	270N	B0	3
10	R	270N	B	3
11	R	270N	M	3
12	R	270N	P	3
13	R	10N	B0 	1
14	R	10N	B 	1
15	R	10N	M 	1
16	R	10N	P 	1
17	R	10N	B0	2
18	R	10N	B	2
19	R	10N	M	2
20	R	10N	P	2
21	R	10N	B0	3
22	R	10N	B	3
23	R	10N	M	3
24	R	10N	P	3
25	NR	270N	B0 	1
26	NR	270N	B 	1
27	NR	270N	M 	1
28	NR	270N	P	1
29	NR	270N	B0 	2
30	NR	270N	B 	2
31	NR	270N	M 	2
32	NR	270N	P 	2
33	NR	270N	B0	3
34	NR	270N	B 	3
35	NR	270N	M 	3
36	NR	270N	P	3
37	NR	10N	B0 	1
38	NR	10N	B 	1
39	NR	10N	M 	1
40	NR	10N	P 	1
41	NR	10N	B0 	2
42	NR	10N	B 	2
43	NR	10N	M 	2
44	NR	10N	P 	2
45	NR	10N	B0 	3
46	NR	10N	B 	3
47	NR	10N	M 	3
48	NR	10N	P 	3